timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1732927319912,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132879,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927319939,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132899,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927319965,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132869,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927319992,33,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132889,1,1,http://149.165.174.52:8080/predict,,33,UTF-8,1,0,ckn-instance-2,0,1
1732927320027,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132859,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927320053,25,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132819,1,1,http://149.165.174.52:8080/predict,,25,UTF-8,1,0,ckn-instance-2,0,1
1732927320079,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132899,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927320105,31,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132829,1,1,http://149.165.174.52:8080/predict,,30,UTF-8,1,0,ckn-instance-2,0,1
1732927320136,29,REST,200,OK,JMeter Load Testing 1-1,text,true,,471,132849,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,1
1732927320165,29,REST,200,OK,JMeter Load Testing 1-1,text,true,,471,132899,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,1
1732927320194,29,REST,200,OK,JMeter Load Testing 1-1,text,true,,471,132879,1,1,http://149.165.174.52:8080/predict,,29,UTF-8,1,0,ckn-instance-2,0,2
1732927320224,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132799,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927320250,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132899,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,2
1732927320277,25,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132819,1,1,http://149.165.174.52:8080/predict,,25,UTF-8,1,0,ckn-instance-2,0,1
1732927320303,26,REST,200,OK,JMeter Load Testing 1-1,text,true,,472,132879,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
1732927320329,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132839,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927320356,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132809,1,1,http://149.165.174.52:8080/predict,,27,UTF-8,1,0,ckn-instance-2,0,1
1732927320383,27,REST,200,OK,JMeter Load Testing 1-1,text,true,,473,132799,1,1,http://149.165.174.52:8080/predict,,26,UTF-8,1,0,ckn-instance-2,0,1
